Unnamed: 0,Unnamed: 0.1,Weight ,Shoulder breadth ,Chest circumference ,Waist circumference,Size
0,1,155,379.166225298431,956.0495749246094,882.5525437486851,Small
1,1,155,386.6699965962004,995.0804274351358,853.5840453846347,Small
2,1,155,445.30263686931517,966.3886276797682,887.5411939443898,Small
3,1,155,745.0789831299055,899.9113714671944,1733.3395134777145,Small
4,1,155,707.4450020906168,1365.3728464610572,1614.2857696052356,Small
5,1,155,467.65608069927003,968.8109752133493,909.4041413359348,Small
6,1,155,534.0753880618772,973.6352276099057,859.8766096979449,Small
7,1,155,720.3263517226047,979.6363887252825,816.6469753806742,Small
8,1,155,621.913599280332,734.3158025329942,858.2816729876912,Small
9,1,155,737.7399890406758,751.0590633861775,842.0523916905989,Small
10,1,155,689.7436530049204,819.0153180170337,878.3296421082782,Small
11,1,155,701.1139862652988,793.1656413735643,857.7051056687677,Small
12,1,155,728.8718606914232,764.5326381773718,851.7473191686133,Small
13,1,155,591.9733532488158,737.5785604967253,850.9463999259907,Small
14,1,155,813.9672833030463,773.7392436330882,895.9839875306419,Small
15,1,155,586.8197856969682,9.585573339983954,1523.6721848174893,Small
